timestamp,date,employee_id,employee_name,department,metric_type,metric_value,unit
2025-01-01 09:00:00,2025-01-01,1001,Nikhil Kumar,Operations,performance,85,%
2025-01-02 09:00:00,2025-01-02,1001,Nikhil Kumar,Operations,performance,84,%
2025-01-03 09:00:00,2025-01-03,1001,Nikhil Kumar,Operations,performance,77,%
2025-01-06 09:00:00,2025-01-06,1001,Nikhil Kumar,Operations,productivity,89,%
2025-01-07 09:00:00,2025-01-07,1001,Nikhil Kumar,Operations,attendance,62,%
2025-01-08 09:00:00,2025-01-08,1001,Nikhil Kumar,Operations,performance,80,%
2025-01-09 09:00:00,2025-01-09,1001,Nikhil Kumar,Operations,productivity,66,%
2025-01-10 09:00:00,2025-01-10,1001,Nikhil Kumar,Operations,performance,76,%
2025-01-13 09:00:00,2025-01-13,1001,Nikhil Kumar,Operations,productivity,71,%
2025-01-14 09:00:00,2025-01-14,1001,Nikhil Kumar,Operations,attendance,78,%
2025-01-15 09:00:00,2025-01-15,1001,Nikhil Kumar,Operations,productivity,66,%
2025-01-16 09:00:00,2025-01-16,1001,Nikhil Kumar,Operations,productivity,66,%
2025-01-17 09:00:00,2025-01-17,1001,Nikhil Kumar,Operations,productivity,68,%
2025-01-20 09:00:00,2025-01-20,1001,Nikhil Kumar,Operations,productivity,61,%
2025-01-21 09:00:00,2025-01-21,1001,Nikhil Kumar,Operations,productivity,66,%
2025-01-22 09:00:00,2025-01-22,1001,Nikhil Kumar,Operations,performance,93,%
2025-01-23 09:00:00,2025-01-23,1001,Nikhil Kumar,Operations,performance,79,%
2025-01-24 09:00:00,2025-01-24,1001,Nikhil Kumar,Operations,performance,60,%
2025-01-27 09:00:00,2025-01-27,1001,Nikhil Kumar,Operations,productivity,62,%
2025-01-28 09:00:00,2025-01-28,1001,Nikhil Kumar,Operations,performance,70,%
2025-01-29 09:00:00,2025-01-29,1001,Nikhil Kumar,Operations,performance,88,%
2025-01-30 09:00:00,2025-01-30,1001,Nikhil Kumar,Operations,performance,68,%
2025-01-31 09:00:00,2025-01-31,1001,Nikhil Kumar,Operations,performance,61,%
2025-02-03 09:00:00,2025-02-03,1001,Nikhil Kumar,Operations,attendance,71,%
2025-02-04 09:00:00,2025-02-04,1001,Nikhil Kumar,Operations,productivity,82,%
2025-02-05 09:00:00,2025-02-05,1001,Nikhil Kumar,Operations,performance,78,%
2025-02-06 09:00:00,2025-02-06,1001,Nikhil Kumar,Operations,productivity,66,%
2025-02-07 09:00:00,2025-02-07,1001,Nikhil Kumar,Operations,attendance,68,%
2025-02-10 09:00:00,2025-02-10,1001,Nikhil Kumar,Operations,productivity,72,%
2025-02-11 09:00:00,2025-02-11,1001,Nikhil Kumar,Operations,performance,61,%
2025-02-12 09:00:00,2025-02-12,1001,Nikhil Kumar,Operations,attendance,61,%
2025-02-13 09:00:00,2025-02-13,1001,Nikhil Kumar,Operations,attendance,79,%
2025-02-14 09:00:00,2025-02-14,1001,Nikhil Kumar,Operations,attendance,81,%
2025-02-17 09:00:00,2025-02-17,1001,Nikhil Kumar,Operations,attendance,66,%
2025-02-18 09:00:00,2025-02-18,1001,Nikhil Kumar,Operations,performance,72,%
2025-02-19 09:00:00,2025-02-19,1001,Nikhil Kumar,Operations,productivity,92,%
2025-02-20 09:00:00,2025-02-20,1001,Nikhil Kumar,Operations,attendance,89,%
2025-02-21 09:00:00,2025-02-21,1001,Nikhil Kumar,Operations,productivity,74,%
2025-02-24 09:00:00,2025-02-24,1001,Nikhil Kumar,Operations,attendance,67,%
2025-02-25 09:00:00,2025-02-25,1001,Nikhil Kumar,Operations,performance,86,%
2025-02-26 09:00:00,2025-02-26,1001,Nikhil Kumar,Operations,productivity,67,%
2025-02-27 09:00:00,2025-02-27,1001,Nikhil Kumar,Operations,productivity,78,%
2025-02-28 09:00:00,2025-02-28,1001,Nikhil Kumar,Operations,performance,67,%
2025-03-03 09:00:00,2025-03-03,1001,Nikhil Kumar,Operations,productivity,64,%
2025-03-04 09:00:00,2025-03-04,1001,Nikhil Kumar,Operations,productivity,63,%
2025-03-05 09:00:00,2025-03-05,1001,Nikhil Kumar,Operations,productivity,68,%
2025-03-06 09:00:00,2025-03-06,1001,Nikhil Kumar,Operations,productivity,86,%
2025-03-07 09:00:00,2025-03-07,1001,Nikhil Kumar,Operations,performance,91,%
2025-03-10 09:00:00,2025-03-10,1001,Nikhil Kumar,Operations,performance,63,%
2025-03-11 09:00:00,2025-03-11,1001,Nikhil Kumar,Operations,productivity,80,%
2025-03-12 09:00:00,2025-03-12,1001,Nikhil Kumar,Operations,productivity,76,%
2025-03-13 09:00:00,2025-03-13,1001,Nikhil Kumar,Operations,attendance,85,%
2025-03-14 09:00:00,2025-03-14,1001,Nikhil Kumar,Operations,productivity,80,%
2025-03-17 09:00:00,2025-03-17,1001,Nikhil Kumar,Operations,productivity,61,%
2025-03-18 09:00:00,2025-03-18,1001,Nikhil Kumar,Operations,attendance,89,%
2025-03-19 09:00:00,2025-03-19,1001,Nikhil Kumar,Operations,attendance,94,%
2025-03-20 09:00:00,2025-03-20,1001,Nikhil Kumar,Operations,productivity,69,%
2025-03-21 09:00:00,2025-03-21,1001,Nikhil Kumar,Operations,productivity,60,%
2025-03-24 09:00:00,2025-03-24,1001,Nikhil Kumar,Operations,performance,95,%
2025-03-25 09:00:00,2025-03-25,1001,Nikhil Kumar,Operations,performance,82,%
2025-03-26 09:00:00,2025-03-26,1001,Nikhil Kumar,Operations,productivity,92,%
2025-03-27 09:00:00,2025-03-27,1001,Nikhil Kumar,Operations,productivity,83,%
2025-03-28 09:00:00,2025-03-28,1001,Nikhil Kumar,Operations,performance,63,%
2025-03-31 09:00:00,2025-03-31,1001,Nikhil Kumar,Operations,performance,90,%
2025-04-01 09:00:00,2025-04-01,1001,Nikhil Kumar,Operations,productivity,65,%
2025-04-02 09:00:00,2025-04-02,1001,Nikhil Kumar,Operations,attendance,63,%
2025-04-03 09:00:00,2025-04-03,1001,Nikhil Kumar,Operations,productivity,88,%
2025-04-04 09:00:00,2025-04-04,1001,Nikhil Kumar,Operations,attendance,65,%
2025-04-07 09:00:00,2025-04-07,1001,Nikhil Kumar,Operations,productivity,86,%
2025-04-08 09:00:00,2025-04-08,1001,Nikhil Kumar,Operations,performance,93,%
2025-04-09 09:00:00,2025-04-09,1001,Nikhil Kumar,Operations,productivity,96,%
2025-04-10 09:00:00,2025-04-10,1001,Nikhil Kumar,Operations,attendance,91,%
2025-04-11 09:00:00,2025-04-11,1001,Nikhil Kumar,Operations,productivity,97,%
2025-04-14 09:00:00,2025-04-14,1001,Nikhil Kumar,Operations,productivity,97,%
2025-04-15 09:00:00,2025-04-15,1001,Nikhil Kumar,Operations,attendance,86,%
2025-04-16 09:00:00,2025-04-16,1001,Nikhil Kumar,Operations,productivity,97,%
2025-04-17 09:00:00,2025-04-17,1001,Nikhil Kumar,Operations,productivity,98,%
2025-04-18 09:00:00,2025-04-18,1001,Nikhil Kumar,Operations,productivity,98,%
2025-04-21 09:00:00,2025-04-21,1001,Nikhil Kumar,Operations,productivity,63,%
2025-04-22 09:00:00,2025-04-22,1001,Nikhil Kumar,Operations,productivity,77,%
2025-04-23 09:00:00,2025-04-23,1001,Nikhil Kumar,Operations,performance,97,%
2025-04-24 09:00:00,2025-04-24,1001,Nikhil Kumar,Operations,performance,79,%
2025-04-25 09:00:00,2025-04-25,1001,Nikhil Kumar,Operations,attendance,66,%
2025-04-28 09:00:00,2025-04-28,1001,Nikhil Kumar,Operations,performance,69,%
2025-04-29 09:00:00,2025-04-29,1001,Nikhil Kumar,Operations,productivity,78,%
2025-04-30 09:00:00,2025-04-30,1001,Nikhil Kumar,Operations,productivity,89,%
2025-05-01 09:00:00,2025-05-01,1001,Nikhil Kumar,Operations,productivity,74,%
2025-05-02 09:00:00,2025-05-02,1001,Nikhil Kumar,Operations,productivity,64,%
2025-05-05 09:00:00,2025-05-05,1001,Nikhil Kumar,Operations,performance,89,%
2025-05-06 09:00:00,2025-05-06,1001,Nikhil Kumar,Operations,performance,75,%
2025-05-07 09:00:00,2025-05-07,1001,Nikhil Kumar,Operations,attendance,82,%
2025-05-08 09:00:00,2025-05-08,1001,Nikhil Kumar,Operations,performance,84,%
2025-05-09 09:00:00,2025-05-09,1001,Nikhil Kumar,Operations,productivity,93,%
2025-05-12 09:00:00,2025-05-12,1001,Nikhil Kumar,Operations,productivity,87,%
2025-05-13 09:00:00,2025-05-13,1001,Nikhil Kumar,Operations,attendance,85,%
2025-05-14 09:00:00,2025-05-14,1001,Nikhil Kumar,Operations,attendance,77,%
2025-05-15 09:00:00,2025-05-15,1001,Nikhil Kumar,Operations,performance,65,%
2025-05-16 09:00:00,2025-05-16,1001,Nikhil Kumar,Operations,performance,76,%
2025-05-19 09:00:00,2025-05-19,1001,Nikhil Kumar,Operations,performance,72,%
2025-05-20 09:00:00,2025-05-20,1001,Nikhil Kumar,Operations,attendance,96,%
2025-05-21 09:00:00,2025-05-21,1001,Nikhil Kumar,Operations,productivity,95,%
2025-05-22 09:00:00,2025-05-22,1001,Nikhil Kumar,Operations,attendance,90,%
2025-05-23 09:00:00,2025-05-23,1001,Nikhil Kumar,Operations,performance,66,%
2025-05-26 09:00:00,2025-05-26,1001,Nikhil Kumar,Operations,productivity,63,%
2025-05-27 09:00:00,2025-05-27,1001,Nikhil Kumar,Operations,attendance,75,%
2025-05-28 09:00:00,2025-05-28,1001,Nikhil Kumar,Operations,performance,93,%
2025-05-29 09:00:00,2025-05-29,1001,Nikhil Kumar,Operations,productivity,80,%
2025-05-30 09:00:00,2025-05-30,1001,Nikhil Kumar,Operations,performance,92,%
2025-06-02 09:00:00,2025-06-02,1001,Nikhil Kumar,Operations,productivity,74,%
2025-06-03 09:00:00,2025-06-03,1001,Nikhil Kumar,Operations,performance,70,%
2025-06-04 09:00:00,2025-06-04,1001,Nikhil Kumar,Operations,performance,86,%
2025-06-05 09:00:00,2025-06-05,1001,Nikhil Kumar,Operations,performance,81,%
2025-06-06 09:00:00,2025-06-06,1001,Nikhil Kumar,Operations,productivity,68,%
2025-06-09 09:00:00,2025-06-09,1001,Nikhil Kumar,Operations,attendance,80,%
2025-06-10 09:00:00,2025-06-10,1001,Nikhil Kumar,Operations,performance,99,%
2025-06-11 09:00:00,2025-06-11,1001,Nikhil Kumar,Operations,productivity,82,%
2025-06-12 09:00:00,2025-06-12,1001,Nikhil Kumar,Operations,attendance,92,%
2025-06-13 09:00:00,2025-06-13,1001,Nikhil Kumar,Operations,productivity,60,%
2025-06-16 09:00:00,2025-06-16,1001,Nikhil Kumar,Operations,attendance,94,%
2025-06-17 09:00:00,2025-06-17,1001,Nikhil Kumar,Operations,performance,75,%
2025-06-18 09:00:00,2025-06-18,1001,Nikhil Kumar,Operations,attendance,81,%
2025-06-19 09:00:00,2025-06-19,1001,Nikhil Kumar,Operations,productivity,86,%
2025-06-20 09:00:00,2025-06-20,1001,Nikhil Kumar,Operations,attendance,67,%
2025-06-23 09:00:00,2025-06-23,1001,Nikhil Kumar,Operations,productivity,95,%
2025-06-24 09:00:00,2025-06-24,1001,Nikhil Kumar,Operations,attendance,82,%
2025-06-25 09:00:00,2025-06-25,1001,Nikhil Kumar,Operations,performance,97,%
2025-06-26 09:00:00,2025-06-26,1001,Nikhil Kumar,Operations,productivity,91,%
2025-06-27 09:00:00,2025-06-27,1001,Nikhil Kumar,Operations,performance,65,%
2025-06-30 09:00:00,2025-06-30,1001,Nikhil Kumar,Operations,attendance,99,%
2025-07-01 09:00:00,2025-07-01,1001,Nikhil Kumar,Operations,productivity,69,%
2025-07-02 09:00:00,2025-07-02,1001,Nikhil Kumar,Operations,performance,97,%
2025-07-03 09:00:00,2025-07-03,1001,Nikhil Kumar,Operations,attendance,96,%
2025-07-04 09:00:00,2025-07-04,1001,Nikhil Kumar,Operations,attendance,80,%
2025-07-07 09:00:00,2025-07-07,1001,Nikhil Kumar,Operations,performance,70,%
2025-07-08 09:00:00,2025-07-08,1001,Nikhil Kumar,Operations,performance,63,%
2025-07-09 09:00:00,2025-07-09,1001,Nikhil Kumar,Operations,performance,82,%
2025-07-10 09:00:00,2025-07-10,1001,Nikhil Kumar,Operations,performance,62,%
2025-07-11 09:00:00,2025-07-11,1001,Nikhil Kumar,Operations,productivity,94,%
2025-07-14 09:00:00,2025-07-14,1001,Nikhil Kumar,Operations,performance,60,%
2025-07-15 09:00:00,2025-07-15,1001,Nikhil Kumar,Operations,attendance,85,%
2025-07-16 09:00:00,2025-07-16,1001,Nikhil Kumar,Operations,performance,85,%
2025-07-17 09:00:00,2025-07-17,1001,Nikhil Kumar,Operations,productivity,79,%
2025-07-18 09:00:00,2025-07-18,1001,Nikhil Kumar,Operations,attendance,86,%
2025-07-21 09:00:00,2025-07-21,1001,Nikhil Kumar,Operations,attendance,60,%
2025-07-22 09:00:00,2025-07-22,1001,Nikhil Kumar,Operations,productivity,99,%
2025-07-23 09:00:00,2025-07-23,1001,Nikhil Kumar,Operations,attendance,60,%
2025-07-24 09:00:00,2025-07-24,1001,Nikhil Kumar,Operations,productivity,83,%
2025-07-25 09:00:00,2025-07-25,1001,Nikhil Kumar,Operations,productivity,79,%
2025-07-28 09:00:00,2025-07-28,1001,Nikhil Kumar,Operations,attendance,72,%
2025-07-29 09:00:00,2025-07-29,1001,Nikhil Kumar,Operations,productivity,93,%
2025-07-30 09:00:00,2025-07-30,1001,Nikhil Kumar,Operations,performance,72,%
2025-07-31 09:00:00,2025-07-31,1001,Nikhil Kumar,Operations,productivity,63,%
